호선명,역이름,관광지명,관광지 주소
1호선,시청,난타전용극장,서울특별시 중구 명동길 26 유네스코회관
2호선,시청,난타전용극장,서울특별시 중구 명동길 26 유네스코회관
4호선,회현,남대문,서울특별시 중구 세종대로 40
4호선,회현,남대문시장,서울특별시 중구 남대문시장4길 21
6호선,한강진역,남산(N서울타워),서울특별시 용산구 남산공원길 126
4호선,충무로,남산골 한옥마을,서울특별시 중구 퇴계로34길 28 남산골한옥마을
3호선,충무로,남산골한옥마을,서울특별시 중구 퇴계로34길 28 남산골한옥마을
6호선,한강진역,남산야외식물원,서울특별시 용산구 소월로 323
4호선,명동,남산케이블카,서울특별시 중구 소파로 83
8호선,산성,남한산성,경기도 광주시 남한산성면 산성리 산23
1호선,망월사,노강서원,경기도 의정부시 동일로122번길 153
1호선,노량진,노량진 수산시장,서울특별시 동작구 노들로 674 노량진수산물도매시장
9호선,노량진,노량진의밤 야간난전 2019,서울특별시 동작구 노량진로 178
1호선,소요산,노르웨이참전기념비,경기도 동두천시 상봉암동
1호선,녹천,노원 에코센터,서울특별시 노원구 덕릉로 460
1호선,종각,놀이똥산 서울점,서울특별시 종로구 인사동5길 41 하나빌딩 지하1층
4호선,대야미,누리천문대,경기도 군포시 대야2로 139
1호선,두정,다산농원,충청남도 천안시 서북구 성성동
3호선,동대입구,다산성곽길,서울특별시 중구 신당동 832
1호선,종로3가,단성사,서울특별시 종로구 묘동
5호선,종로3가,단성사,서울특별시 종로구 묘동
4호선,한대앞,단원조각공원,경기도 안산시 상록구 성호로 131 성호 이익 기념관
1호선,종로3가,대관원터,서울특별시 종로구 관수동
5호선,종로3가,대관원터,서울특별시 종로구 관수동
3호선,일원,대모산,서울특별시 강남구 개포동 대모산
4호선,혜화,대학로 예술의 거리,서울특별시 종로구 동숭동
1호선,시청,덕수궁,서울특별시 중구 세종대로 99 덕수궁
2호선,시청,덕수궁,서울특별시 중구 세종대로 99 덕수궁
5호선,광화문,덕수궁,서울특별시 중구 세종대로 99 덕수궁
1호선,시청,덕수궁 돌담길,서울특별시 중구 세종대로19길 24 영국대사관
2호선,시청,덕수궁 돌담길,서울특별시 중구 세종대로19길 24 영국대사관
1호선,시청,덕수궁미술관,서울특별시 중구 세종대로 99
2호선,시청,덕수궁미술관,서울특별시 중구 세종대로 99
3호선,원당,덕양서원,경기도 고양시 덕양구 고양대로 1445-46
1호선,보산,도담도담전래놀이연구소,경기도 동두천시 중앙로353번길 14
7호선,춘의,도당수목원,경기도 부천시 성곡로63번길 99
7호선,부천시청,도레미파크,경기도 부천시 소향로 197
1호선,방학,도봉구_1711-01서울유아숲체험장,서울특별시 도봉구 방학동 678
1호선,도봉산,도봉서원,서울특별시 도봉구 도봉산길 90
7호선,도봉산,도봉서원,서울특별시 도봉구 도봉산길 90
7호선,강남구청,도산 안창호 기념관,서울특별시 강남구 도산대로45길 20 도산전시관
7호선,강남구청역,도산공원,서울특별시 강남구 도산대로45길 20 도산전시관
3호선,독립문,독립문,서울특별시 서대문구 현저동 941
5호선,서대문,돈의문박물관마을,서울특별시 종로구 신문로2가 7-24
1호선,동묘앞,동관왕묘,서울특별시 종로구 숭인동
6호선,동묘앞,동관왕묘,서울특별시 종로구 숭인동
1호선,동대문,동대문,서울특별시 종로구 종로 288 흥인지문
2호선,동대문역사문화공원,동대문시장,서울특별시 중구 을지로6가
4호선,동대문역사문화공원,동대문시장,서울특별시 중구 을지로6가
5호선,동대문역사문화공원,동대문시장,서울특별시 중구 을지로6가
6호선,신당,동대문역사문화공원,서울특별시 중구 신당동
2호선,동대문역사문화공원,동대문역사문화공원,서울특별시 중구 을지로 281
4호선,동대문역사문화공원,동대문역사문화공원,서울특별시 중구 을지로 281
5호선,동대문역사문화공원,동대문역사문화공원,서울특별시 중구 을지로 281
2호선,동대문역사문화공원,동대문운동장기념관,서울특별시 중구 신당동 853
5호선,동대문역사문화공원,동대문운동장기념관,서울특별시 중구 신당동 853
1호선,소요산,동두천맛거리,경기도 동두천시 상봉암동
1호선,보산,동두천시외국인관광특구,경기도 동두천시 생연동
1호선,동두천중앙,두드림스파,경기도 동두천시 삼육사로 1041 지번
1호선,창동,둘리뮤지엄,서울특별시 도봉구 시루봉로1길 6
1호선,보산,드라마[응답하라1988]촬영지,경기도 동두천시 생연동
2호선,구의,드라마[응답하라1988]촬영지,서울특별시 광진구 자양동
7호선,뚝섬유원지,뚝섬유원지,서울특별시 광진구 자양동 427-1
1호선,종각,런닝맨 인사동점,서울특별시 종로구 인사동5길 41 하나빌딩 지하1층
3호선,원흥,렛츠런팜 원당,경기도 고양시 덕양구 서삼릉길 233-112
1호선,녹천,로보카폴리어린이교통공원,서울특별시 노원구 덕릉로 483
9호선,김포공항,롯데몰 김포공항,서울특별시 강서구 하늘길 77
2호선,잠실,롯데월드,서울특별시 송파구 올림픽로 240
8호선,잠실,롯데월드,서울특별시 송파구 올림픽로 240
2호선,잠실,롯데월드 민속관,서울특별시 송파구 올림픽로 240 롯데월드
8호선,잠실,롯데월드 민속관,서울특별시 송파구 올림픽로 240 롯데월드
2호선,잠실,롯데월드 아쿠아리움,서울특별시 송파구 올림픽로 300 롯데월드몰 B1
8호선,잠실,롯데월드 아쿠아리움,서울특별시 송파구 올림픽로 300 롯데월드몰 B1
6호선,이태원,루프탑 9room,서울특별시 용산구 녹사평대로46길 69
6호선,한강진역,리움미술관,서울특별시 용산구 이태원로55길 60-16
5호선,아차산,리틀엔젤스 예술회관,서울특별시 광진구 천호대로 664 선화예술중고등학교
5호선,마장,마장동 고기구이 골목,서울특별시 성동구 마장동 437
6호선,공덕,마포갈매기골목,서울특별시 마포구 도화동
